airline_name,overall_rating,verified,aircraft,type_of_traveller,seat_type,seat_comfort,cabin_staff_service,food_beverages,ground_service,inflight_entertainment,wifi_connectivity,value_for_money,recommended,time_before_review,delay_cancellation,review_date,country
China Southern Airlines,8.0,True,Boeing 787,Solo Leisure,Economy Class,5.0,5.0,4.0,5.0,4.0,3.0,5.0,yes,1 month,False,2022-10-01,China
China Southern Airlines,1.0,True,Unknown,Solo Leisure,Economy Class,5.0,5.0,5.0,5.0,2.15,1.81,5.0,yes,1 month,False,2022-12-01,China
China Southern Airlines,9.0,True,Unknown,Business,Business Class,5.0,5.0,5.0,5.0,4.0,1.81,5.0,yes,1 month,False,2022-12-01,China
China Southern Airlines,8.0,True,Unknown,Solo Leisure,Economy Class,2.0,4.0,3.0,4.0,3.0,1.81,4.0,yes,1 month,False,2022-12-01,China
China Southern Airlines,1.0,True,Unknown,Family Leisure,Economy Class,5.0,5.0,4.0,5.0,4.0,4.0,5.0,yes,2-3 months,False,2023-01-01,China
China Southern Airlines,8.0,True,Unknown,Solo Leisure,Business Class,5.0,5.0,4.0,5.0,4.0,1.81,5.0,yes,1 month,False,2023-01-01,China
China Southern Airlines,9.0,True,Unknown,Solo Leisure,Economy Class,5.0,5.0,5.0,5.0,5.0,1.81,5.0,yes,1 month,False,2023-01-01,China
China Southern Airlines,1.0,True,Unknown,Couple Leisure,Economy Class,5.0,5.0,4.0,5.0,4.0,4.0,5.0,yes,1 month,False,2023-02-01,China
China Southern Airlines,8.0,True,Unknown,Solo Leisure,Economy Class,4.0,5.0,4.0,5.0,2.0,1.81,4.0,yes,1 month,True,2023-02-01,China
China Southern Airlines,9.0,True,Unknown,Solo Leisure,Economy Class,5.0,5.0,4.0,5.0,4.0,1.81,5.0,yes,1 month,False,2023-02-01,China
China Southern Airlines,9.0,True,Unknown,Solo Leisure,Economy Class,5.0,5.0,5.0,5.0,5.0,1.81,5.0,yes,1 month,False,2023-03-01,China
China Southern Airlines,8.0,True,Boeing 787,Family Leisure,Economy Class,4.0,4.0,4.0,5.0,4.0,1.81,5.0,yes,1 month,False,2023-04-01,China
China Southern Airlines,9.0,True,Unknown,Business,Business Class,4.0,4.0,4.0,5.0,4.0,4.0,4.0,yes,1 month,False,2023-04-01,China
China Southern Airlines,1.0,True,Unknown,Couple Leisure,Economy Class,4.0,4.0,5.0,5.0,5.0,5.0,5.0,yes,1 month,False,2023-05-01,China
China Southern Airlines,8.0,True,Unknown,Couple Leisure,Economy Class,4.0,4.0,3.0,5.0,3.0,1.81,5.0,yes,1 month,False,2023-05-01,China
China Southern Airlines,9.0,True,Unknown,Family Leisure,Economy Class,5.0,5.0,4.0,5.0,4.0,1.81,5.0,yes,1 month,False,2023-06-01,China
China Southern Airlines,1.0,True,Unknown,Couple Leisure,Economy Class,4.0,5.0,5.0,5.0,4.0,4.0,5.0,yes,1 month,False,2023-06-01,China
China Southern Airlines,7.0,True,Boeing 787,Solo Leisure,Business Class,4.0,5.0,5.0,5.0,3.0,1.0,3.0,yes,1 month,False,2023-07-01,China
China Southern Airlines,1.0,True,Unknown,Family Leisure,Economy Class,5.0,4.0,4.0,5.0,5.0,4.0,5.0,yes,1 month,False,2023-07-01,China
China Southern Airlines,1.0,True,Unknown,Solo Leisure,Economy Class,4.0,4.0,4.0,5.0,4.0,4.0,4.0,yes,1 month,False,2023-07-01,China
China Southern Airlines,1.0,True,A350-900,Solo Leisure,Economy Class,5.0,5.0,5.0,5.0,5.0,1.81,5.0,yes,1 month,False,2023-07-01,China
China Southern Airlines,1.0,True,A321,Business,Economy Class,5.0,5.0,5.0,5.0,5.0,1.81,5.0,yes,1 month,False,2023-08-01,China
China Southern Airlines,9.0,True,Boeing 777-300ER,Family Leisure,Economy Class,5.0,5.0,4.0,5.0,5.0,1.81,5.0,yes,1 month,False,2023-09-01,China
China Southern Airlines,9.0,True,Boeing 787,Family Leisure,Economy Class,5.0,5.0,5.0,5.0,5.0,4.0,4.0,yes,1 month,False,2023-09-01,China
China Southern Airlines,1.0,True,A350-900,Family Leisure,Economy Class,5.0,5.0,5.0,5.0,5.0,1.81,5.0,yes,1 month,False,2023-09-01,China
China Southern Airlines,9.0,False,Unknown,Business,Economy Class,5.0,5.0,5.0,5.0,5.0,1.81,5.0,yes,1 month,False,2023-11-01,China
China Southern Airlines,8.0,True,Unknown,Family Leisure,Economy Class,4.0,5.0,4.0,5.0,4.0,4.0,5.0,yes,1 month,False,2023-12-01,China
China Southern Airlines,1.0,False,Unknown,Couple Leisure,Economy Class,4.0,4.0,5.0,5.0,4.0,4.0,5.0,yes,1 month,False,2024-01-01,China
China Southern Airlines,1.0,True,Unknown,Family Leisure,Economy Class,5.0,5.0,5.0,5.0,5.0,2.0,5.0,yes,1 month,False,2024-02-01,China
China Southern Airlines,1.0,True,Unknown,Business,Economy Class,5.0,5.0,4.0,5.0,5.0,4.0,4.0,yes,1 month,False,2024-03-01,China
Hong Kong Airlines,9.0,False,Unknown,Family Leisure,Economy Class,5.0,5.0,4.0,5.0,4.0,1.81,4.0,yes,1 month,False,2017-02-01,India
Royal Brunei Airlines,1.0,True,Unknown,Solo Leisure,Economy Class,2.0,2.0,2.0,1.0,1.0,1.81,1.0,no,1 month,True,2019-02-01,Philippines
Royal Brunei Airlines,1.0,True,Boeing 787,Solo Leisure,Economy Class,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no,1 month,True,2019-03-01,Philippines
Korean Air,1.0,True,Unknown,Family Leisure,Economy Class,1.0,4.0,3.0,1.0,4.0,1.81,1.0,no,1 month,True,2018-08-01,Philippines
Korean Air,1.0,True,Boeing 777-300,Family Leisure,Business Class,3.0,4.0,4.0,1.0,4.0,1.81,1.0,no,1 month,False,2018-08-01,Philippines
Hong Kong Airlines,1.0,True,Unknown,Solo Leisure,Economy Class,5.0,5.0,5.0,5.0,2.15,1.81,5.0,yes,1 month,False,2023-02-01,Philippines
China Airlines,5.0,True,Others,Solo Leisure,Economy Class,3.0,4.0,2.0,1.0,5.0,1.81,2.0,no,1 month,False,2019-07-01,Philippines
China Airlines,8.0,True,Others,Solo Leisure,Economy Class,4.0,5.0,5.0,4.0,5.0,1.81,5.0,yes,1 month,False,2020-02-01,Philippines
China Airlines,1.0,True,A330-300,Solo Leisure,Business Class,3.0,3.0,2.56,1.0,2.15,1.81,1.0,no,1 month,True,2024-02-01,Philippines
Hong Kong Airlines,8.0,False,Others,Couple Leisure,Economy Class,3.0,4.0,4.0,4.0,4.0,1.81,4.0,yes,1 month,False,2015-07-01,China
Hong Kong Airlines,1.0,True,A350,Family Leisure,Economy Class,2.0,3.0,2.0,1.0,2.0,1.81,3.0,no,1 month,False,2019-04-01,China
China Southern Airlines,1.0,True,Unknown,Business,Economy Class,5.0,5.0,5.0,5.0,5.0,1.0,5.0,yes,1 month,False,2023-12-01,China
Korean Air,8.0,False,Unknown,Couple Leisure,Economy Class,4.0,5.0,3.0,4.0,5.0,1.81,4.0,yes,2-3 months,False,2018-09-01,"Korea, South"
Korean Air,8.0,False,A330-300,Business,Economy Class,5.0,5.0,2.56,5.0,2.15,1.81,5.0,yes,1 month,False,2018-11-01,"Korea, South"
Korean Air,1.0,True,Unknown,Solo Leisure,Economy Class,4.0,5.0,5.0,5.0,5.0,1.81,5.0,yes,1 month,False,2018-11-01,"Korea, South"
Korean Air,4.0,True,Others,Business,Business Class,2.0,2.0,2.0,3.0,2.0,1.81,4.0,no,1 month,False,2018-11-01,"Korea, South"
Korean Air,1.0,True,Unknown,Family Leisure,Economy Class,2.0,2.0,2.0,1.0,2.15,1.81,2.0,no,1 month,False,2018-12-01,"Korea, South"
Korean Air,9.0,True,Unknown,Couple Leisure,Economy Class,4.0,5.0,4.0,4.0,2.0,1.81,4.0,yes,1 month,False,2019-01-01,"Korea, South"
Korean Air,4.0,True,Unknown,Solo Leisure,Economy Class,3.0,4.0,4.0,5.0,3.0,1.81,1.0,no,1 month,False,2019-06-01,"Korea, South"
Korean Air,5.0,True,A380,Family Leisure,Business Class,3.0,4.0,4.0,1.0,4.0,1.81,4.0,no,1 month,False,2019-07-01,"Korea, South"
Korean Air,8.0,True,Boeing 787-9,Couple Leisure,Economy Class,4.0,4.0,4.0,4.0,3.0,1.81,4.0,yes,1 month,False,2019-08-01,"Korea, South"
Korean Air,9.0,True,Unknown,Solo Leisure,Economy Class,4.0,5.0,4.0,4.0,4.0,1.81,4.0,yes,1 month,False,2019-08-01,"Korea, South"
Korean Air,2.0,True,Unknown,Family Leisure,Economy Class,4.0,1.0,1.0,3.0,2.0,1.81,3.0,no,1 month,False,2019-11-01,"Korea, South"
Korean Air,5.0,True,Unknown,Solo Leisure,Economy Class,3.0,2.0,3.0,2.0,3.0,1.81,3.0,no,1 month,False,2019-12-01,"Korea, South"
Korean Air,5.0,True,Boeing 737-800,Family Leisure,First Class,2.0,4.0,3.0,1.0,2.15,1.81,3.0,no,1 month,True,2020-03-01,"Korea, South"
Korean Air,1.0,False,A330,Solo Leisure,Economy Class,5.0,5.0,5.0,5.0,5.0,5.0,5.0,yes,2-3 months,False,2022-05-01,"Korea, South"
Korean Air,9.0,False,Unknown,Solo Leisure,Economy Class,4.0,5.0,4.0,4.0,4.0,1.81,4.0,yes,1 month,False,2022-12-01,"Korea, South"
Korean Air,9.0,True,Boeing 777-300,Solo Leisure,Economy Class,5.0,4.0,5.0,5.0,3.0,1.81,4.0,yes,1 month,True,2023-02-01,"Korea, South"
Korean Air,9.0,True,Unknown,Couple Leisure,Economy Class,4.0,5.0,5.0,5.0,5.0,5.0,5.0,yes,1 month,False,2023-06-01,"Korea, South"
Korean Air,2.0,True,Unknown,Business,Economy Class,1.0,1.0,2.0,1.0,1.0,1.0,4.0,no,1 month,False,2023-09-01,"Korea, South"
Korean Air,9.0,False,Unknown,Couple Leisure,Economy Class,5.0,5.0,5.0,5.0,2.15,1.81,5.0,yes,1 month,False,2023-11-01,"Korea, South"
Korean Air,9.0,True,Boeing 777-300,Solo Leisure,Economy Class,5.0,5.0,5.0,4.0,4.0,1.81,5.0,yes,1 month,False,2024-04-01,"Korea, South"
China Southern Airlines,4.0,True,Unknown,Solo Leisure,Economy Class,2.0,3.0,1.0,3.0,1.0,1.0,2.0,no,1 month,False,2023-11-01,"Korea, South"
China Airlines,3.0,True,Unknown,Solo Leisure,Economy Class,1.0,5.0,2.0,3.0,1.0,1.0,3.0,no,1 month,False,2019-11-01,United States
China Airlines,1.0,False,Others,Family Leisure,Economy Class,2.0,2.0,1.0,1.0,1.0,1.81,1.0,no,1 month,True,2023-07-01,United States
Hong Kong Airlines,8.0,False,A330,Family Leisure,Economy Class,4.0,2.0,3.0,5.0,3.0,1.81,5.0,yes,1 month,False,2017-02-01,China
Hong Kong Airlines,3.0,False,Unknown,Couple Leisure,Economy Class,3.0,3.0,3.0,1.0,3.0,1.81,2.0,no,1 month,False,2017-07-01,China
Hong Kong Airlines,3.0,True,A330,Solo Leisure,Economy Class,1.0,1.0,1.0,1.0,2.15,1.81,2.0,no,1 month,False,2019-01-01,China
Hong Kong Airlines,8.0,True,A350-900,Business,Economy Class,4.0,5.0,2.0,4.0,4.0,1.81,5.0,yes,2-3 months,False,2019-05-01,China
China Southern Airlines,1.0,False,A330,Couple Leisure,Business Class,2.6,2.87,2.56,1.0,2.15,1.81,1.0,no,1 month,True,2023-08-01,China
China Southern Airlines,9.0,True,Unknown,Solo Leisure,Economy Class,5.0,5.0,5.0,5.0,1.0,1.81,5.0,yes,1 month,False,2023-10-01,China
Dragonair,3.0,True,Unknown,Solo Leisure,Economy Class,3.0,1.0,1.0,3.0,1.0,1.0,2.0,no,1 month,False,2018-06-01,India
Royal Brunei Airlines,9.0,False,Others,Solo Leisure,Business Class,4.0,5.0,4.0,5.0,3.0,1.81,5.0,yes,1 month,True,2015-10-01,Thailand
Royal Brunei Airlines,5.0,True,Unknown,Couple Leisure,Business Class,4.0,1.0,2.0,4.0,2.0,1.81,3.0,yes,1 month,False,2018-02-01,Thailand
Royal Brunei Airlines,6.0,True,A320,Solo Leisure,Economy Class,4.0,3.0,4.0,4.0,4.0,1.81,4.0,no,1 month,False,2018-03-01,Thailand
Korean Air,9.0,False,Unknown,Couple Leisure,Economy Class,4.0,5.0,5.0,5.0,4.0,1.81,5.0,yes,1 month,False,2020-02-01,Thailand
Hong Kong Airlines,1.0,True,Unknown,Couple Leisure,Economy Class,4.0,5.0,5.0,5.0,5.0,1.81,5.0,yes,1 month,False,2018-01-01,Thailand
Hong Kong Airlines,7.0,True,A330-200,Solo Leisure,Economy Class,4.0,5.0,2.0,5.0,1.0,1.0,5.0,yes,1 month,False,2018-03-01,Thailand
Hong Kong Airlines,7.0,True,A330,Couple Leisure,Economy Class,4.0,3.0,3.0,4.0,3.0,3.0,5.0,yes,1 month,False,2018-04-01,Thailand
