airline_name,overall_rating,verified,aircraft,type_of_traveller,seat_type,seat_comfort,cabin_staff_service,food_beverages,ground_service,inflight_entertainment,wifi_connectivity,value_for_money,recommended,time_before_review,departure_place,arrival_place,delay_cancellation,review_date
Adria Airways,5.0,False,A319,Couple Leisure,Economy Class,3.0,3.0,2.56,3.0,2.15,1.81,2.0,no,2-3 months,LJU,AMS,False,2015-12-01
Adria Airways,7.0,False,Others,Solo Leisure,Economy Class,5.0,1.0,1.0,5.0,2.15,1.81,5.0,yes,1 month,Ljubljana,Moscow,False,2015-10-01
Adria Airways,9.0,False,A319,Business,Business Class,5.0,5.0,5.0,5.0,4.0,1.81,5.0,yes,1 month,SKP,LJU,False,2015-09-01
Adria Airways,5.0,False,Others,Family Leisure,Economy Class,4.0,3.0,2.56,3.0,2.15,1.81,3.0,no,+3 months,Frankfurt,Ljubljana,False,2015-09-01
Adria Airways,6.0,False,Unknown,Family Leisure,Economy Class,4.0,5.0,2.56,5.0,2.15,1.81,2.0,yes,1 month,Ljubljana,Brussels,True,2015-09-01
Adria Airways,1.0,False,A319,Family Leisure,Economy Class,5.0,5.0,2.56,5.0,2.15,1.81,4.0,yes,1 month,Manchester,Ljubljana,False,2015-09-01
Adria Airways,7.0,False,Unknown,Unknown,Economy Class,4.0,4.0,4.0,2.36,0.0,1.81,4.0,yes,Unknown,Unknown,Unknown,False,2015-04-01
Adria Airways,1.0,False,Unknown,Unknown,Business Class,4.0,5.0,4.0,2.36,1.0,1.81,5.0,yes,Unknown,Unknown,Unknown,False,2015-01-01
Adria Airways,9.0,False,Unknown,Unknown,Economy Class,5.0,5.0,4.0,2.36,0.0,1.81,5.0,yes,Unknown,Unknown,Unknown,False,2014-09-01
Adria Airways,8.0,False,Unknown,Unknown,Business Class,4.0,4.0,3.0,2.36,1.0,1.81,4.0,yes,Unknown,Unknown,Unknown,False,2014-09-01
Adria Airways,4.0,False,Unknown,Unknown,Economy Class,4.0,2.0,1.0,2.36,2.0,1.81,2.0,no,Unknown,Unknown,Unknown,False,2014-06-01
Adria Airways,9.0,False,Unknown,Unknown,Economy Class,4.0,4.0,3.0,2.36,3.0,1.81,4.0,yes,Unknown,Unknown,Unknown,False,2014-06-01
Adria Airways,5.0,False,Unknown,Unknown,Economy Class,4.0,4.0,1.0,2.36,0.0,1.81,3.0,yes,Unknown,Unknown,Unknown,False,2014-06-01
Adria Airways,9.0,False,Unknown,Unknown,Economy Class,5.0,5.0,4.0,2.36,3.0,1.81,4.0,yes,Unknown,Unknown,Unknown,False,2014-05-01
Adria Airways,8.0,False,Unknown,Unknown,Business Class,4.0,3.0,4.0,2.36,1.0,1.81,4.0,yes,Unknown,Unknown,Unknown,False,2014-01-01
Adria Airways,1.0,False,Unknown,Unknown,Economy Class,5.0,5.0,4.0,2.36,4.0,1.81,4.0,yes,Unknown,Unknown,Unknown,False,2014-01-01
Adria Airways,9.0,False,Unknown,Unknown,Economy Class,4.0,4.0,4.0,2.36,4.0,1.81,4.0,yes,Unknown,Unknown,Unknown,False,2013-10-01
Adria Airways,7.0,False,Unknown,Unknown,Economy Class,4.0,5.0,3.0,2.36,3.0,1.81,5.0,yes,Unknown,Unknown,Unknown,False,2013-08-01
Adria Airways,8.0,False,Unknown,Unknown,Economy Class,4.0,4.0,4.0,2.36,0.0,1.81,4.0,yes,Unknown,Unknown,Unknown,False,2013-08-01
Adria Airways,7.0,False,Unknown,Unknown,Business Class,3.0,3.0,4.0,2.36,1.0,1.81,4.0,yes,Unknown,Unknown,Unknown,False,2013-08-01
Adria Airways,7.0,False,Unknown,Unknown,Business Class,2.0,5.0,4.0,2.36,0.0,1.81,4.0,yes,Unknown,Unknown,Unknown,False,2013-06-01
Adria Airways,5.0,False,Unknown,Unknown,Economy Class,4.0,4.0,1.0,2.36,0.0,1.81,4.0,yes,Unknown,Unknown,Unknown,False,2013-05-01
Adria Airways,9.0,False,Unknown,Unknown,Economy Class,4.0,5.0,4.0,2.36,0.0,1.81,2.0,yes,Unknown,Unknown,Unknown,False,2012-10-01
Adria Airways,5.0,False,Unknown,Unknown,Economy Class,2.6,2.87,2.56,2.36,2.15,1.81,4.0,yes,Unknown,Unknown,Unknown,True,2012-07-01
